,raceId,year,RaceName,driverId,lap,position,time,miliseconds
0,843,2011,Chinese Grand Prix,1,1,2,1:47.286,107286
1,843,2011,Chinese Grand Prix,1,2,2,1:44.641,104641
2,843,2011,Chinese Grand Prix,1,3,2,1:44.767,104767
3,843,2011,Chinese Grand Prix,1,4,2,1:44.155,104155
4,843,2011,Chinese Grand Prix,1,5,2,1:44.023,104023
5,843,2011,Chinese Grand Prix,1,6,2,1:44.168,104168
6,843,2011,Chinese Grand Prix,1,7,2,1:43.928,103928
7,843,2011,Chinese Grand Prix,1,8,2,1:44.307,104307
8,843,2011,Chinese Grand Prix,1,9,2,1:44.357,104357
9,843,2011,Chinese Grand Prix,1,10,2,1:44.762,104762
10,843,2011,Chinese Grand Prix,1,11,2,1:45.029,105029
11,843,2011,Chinese Grand Prix,1,12,2,1:45.047,105047
12,843,2011,Chinese Grand Prix,1,13,2,1:45.697,105697
13,843,2011,Chinese Grand Prix,1,14,1,1:47.762,107762
14,843,2011,Chinese Grand Prix,1,15,3,1:52.046,112046
15,843,2011,Chinese Grand Prix,1,16,7,2:01.036,121036
16,843,2011,Chinese Grand Prix,1,17,5,1:43.416,103416
17,843,2011,Chinese Grand Prix,1,18,5,1:42.881,102881
18,843,2011,Chinese Grand Prix,1,19,5,1:43.062,103062
19,843,2011,Chinese Grand Prix,1,20,5,1:42.830,102830
20,843,2011,Chinese Grand Prix,1,21,5,1:42.799,102799
21,843,2011,Chinese Grand Prix,1,22,5,1:42.928,102928
22,843,2011,Chinese Grand Prix,1,23,5,1:43.164,103164
23,843,2011,Chinese Grand Prix,1,24,4,1:42.713,102713
24,843,2011,Chinese Grand Prix,1,25,4,1:46.843,106843
25,843,2011,Chinese Grand Prix,1,26,8,1:58.153,118153
26,843,2011,Chinese Grand Prix,1,27,6,1:41.694,101694
27,843,2011,Chinese Grand Prix,1,28,6,1:41.601,101601
28,843,2011,Chinese Grand Prix,1,29,6,1:41.441,101441
29,843,2011,Chinese Grand Prix,1,30,5,1:40.736,100736
30,843,2011,Chinese Grand Prix,1,31,5,1:40.732,100732
31,843,2011,Chinese Grand Prix,1,32,4,1:41.627,101627
32,843,2011,Chinese Grand Prix,1,33,4,1:41.020,101020
33,843,2011,Chinese Grand Prix,1,34,3,1:41.592,101592
34,843,2011,Chinese Grand Prix,1,35,3,1:41.668,101668
35,843,2011,Chinese Grand Prix,1,36,2,1:41.252,101252
36,843,2011,Chinese Grand Prix,1,37,2,1:41.079,101079
37,843,2011,Chinese Grand Prix,1,38,2,1:45.573,105573
38,843,2011,Chinese Grand Prix,1,39,4,1:57.724,117724
39,843,2011,Chinese Grand Prix,1,40,4,1:42.132,102132
40,843,2011,Chinese Grand Prix,1,41,4,1:41.488,101488
41,843,2011,Chinese Grand Prix,1,42,3,1:42.030,102030
42,843,2011,Chinese Grand Prix,1,43,3,1:41.034,101034
43,843,2011,Chinese Grand Prix,1,44,2,1:41.850,101850
44,843,2011,Chinese Grand Prix,1,45,2,1:40.899,100899
45,843,2011,Chinese Grand Prix,1,46,2,1:40.957,100957
46,843,2011,Chinese Grand Prix,1,47,2,1:40.923,100923
47,843,2011,Chinese Grand Prix,1,48,2,1:40.415,100415
48,843,2011,Chinese Grand Prix,1,49,2,1:40.939,100939
49,843,2011,Chinese Grand Prix,1,50,2,1:42.050,102050
50,843,2011,Chinese Grand Prix,1,51,2,1:42.867,102867
51,843,2011,Chinese Grand Prix,1,52,1,1:42.289,102289
52,843,2011,Chinese Grand Prix,1,53,1,1:41.427,101427
53,843,2011,Chinese Grand Prix,1,54,1,1:42.027,102027
54,843,2011,Chinese Grand Prix,1,55,1,1:42.218,102218
55,843,2011,Chinese Grand Prix,1,56,1,1:43.142,103142
56,862,2012,Chinese Grand Prix,1,1,5,1:49.228,109228
57,862,2012,Chinese Grand Prix,1,2,5,1:44.594,104594
58,862,2012,Chinese Grand Prix,1,3,5,1:44.169,104169
59,862,2012,Chinese Grand Prix,1,4,5,1:43.982,103982
60,862,2012,Chinese Grand Prix,1,5,5,1:44.148,104148
61,862,2012,Chinese Grand Prix,1,6,5,1:43.989,103989
62,862,2012,Chinese Grand Prix,1,7,5,1:43.728,103728
63,862,2012,Chinese Grand Prix,1,8,5,1:44.218,104218
64,862,2012,Chinese Grand Prix,1,9,5,1:44.300,104300
65,862,2012,Chinese Grand Prix,1,10,7,1:48.886,108886
66,862,2012,Chinese Grand Prix,1,11,12,2:00.863,120863
67,862,2012,Chinese Grand Prix,1,12,8,1:42.789,102789
68,862,2012,Chinese Grand Prix,1,13,5,1:43.027,103027
69,862,2012,Chinese Grand Prix,1,14,5,1:42.807,102807
70,862,2012,Chinese Grand Prix,1,15,5,1:42.693,102693
71,862,2012,Chinese Grand Prix,1,16,5,1:42.879,102879
72,862,2012,Chinese Grand Prix,1,17,4,1:42.862,102862
73,862,2012,Chinese Grand Prix,1,18,3,1:42.612,102612
74,862,2012,Chinese Grand Prix,1,19,3,1:42.961,102961
75,862,2012,Chinese Grand Prix,1,20,3,1:43.220,103220
76,862,2012,Chinese Grand Prix,1,21,3,1:43.063,103063
77,862,2012,Chinese Grand Prix,1,22,3,1:47.073,107073
78,862,2012,Chinese Grand Prix,1,23,13,1:58.264,118264
79,862,2012,Chinese Grand Prix,1,24,13,1:43.023,103023
80,862,2012,Chinese Grand Prix,1,25,13,1:43.316,103316
81,862,2012,Chinese Grand Prix,1,26,11,1:42.602,102602
82,862,2012,Chinese Grand Prix,1,27,10,1:43.315,103315
83,862,2012,Chinese Grand Prix,1,28,8,1:41.980,101980
84,862,2012,Chinese Grand Prix,1,29,7,1:42.494,102494
85,862,2012,Chinese Grand Prix,1,30,6,1:41.831,101831
86,862,2012,Chinese Grand Prix,1,31,5,1:41.781,101781
87,862,2012,Chinese Grand Prix,1,32,5,1:42.823,102823
88,862,2012,Chinese Grand Prix,1,33,4,1:43.396,103396
89,862,2012,Chinese Grand Prix,1,34,4,1:43.423,103423
90,862,2012,Chinese Grand Prix,1,35,3,1:44.545,104545
91,862,2012,Chinese Grand Prix,1,36,3,1:41.584,101584
92,862,2012,Chinese Grand Prix,1,37,3,1:41.730,101730
93,862,2012,Chinese Grand Prix,1,38,3,1:45.758,105758
94,862,2012,Chinese Grand Prix,1,39,10,1:57.274,117274
95,862,2012,Chinese Grand Prix,1,40,10,1:40.530,100530
96,862,2012,Chinese Grand Prix,1,41,10,1:41.374,101374
97,862,2012,Chinese Grand Prix,1,42,8,1:41.561,101561
98,862,2012,Chinese Grand Prix,1,43,7,1:41.257,101257
99,862,2012,Chinese Grand Prix,1,44,7,1:41.423,101423
100,862,2012,Chinese Grand Prix,1,45,6,1:41.955,101955
101,862,2012,Chinese Grand Prix,1,46,6,1:41.657,101657
102,862,2012,Chinese Grand Prix,1,47,6,1:42.174,102174
103,862,2012,Chinese Grand Prix,1,48,4,1:43.779,103779
104,862,2012,Chinese Grand Prix,1,49,4,1:40.683,100683
105,862,2012,Chinese Grand Prix,1,50,4,1:40.711,100711
106,862,2012,Chinese Grand Prix,1,51,4,1:41.076,101076
107,862,2012,Chinese Grand Prix,1,52,4,1:41.479,101479
108,862,2012,Chinese Grand Prix,1,53,4,1:42.105,102105
109,862,2012,Chinese Grand Prix,1,54,3,1:42.089,102089
110,862,2012,Chinese Grand Prix,1,55,3,1:41.039,101039
111,862,2012,Chinese Grand Prix,1,56,3,1:40.819,100819
112,882,2013,Chinese Grand Prix,1,1,1,1:45.684,105684
113,882,2013,Chinese Grand Prix,1,2,1,1:44.041,104041
114,882,2013,Chinese Grand Prix,1,3,1,1:44.864,104864
115,882,2013,Chinese Grand Prix,1,4,1,1:45.816,105816
116,882,2013,Chinese Grand Prix,1,5,8,1:51.988,111988
117,882,2013,Chinese Grand Prix,1,6,13,2:00.395,120395
118,882,2013,Chinese Grand Prix,1,7,11,1:42.612,102612
119,882,2013,Chinese Grand Prix,1,8,8,1:42.735,102735
120,882,2013,Chinese Grand Prix,1,9,7,1:43.156,103156
121,882,2013,Chinese Grand Prix,1,10,7,1:43.121,103121
122,882,2013,Chinese Grand Prix,1,11,7,1:43.112,103112
123,882,2013,Chinese Grand Prix,1,12,7,1:44.310,104310
124,882,2013,Chinese Grand Prix,1,13,7,1:44.292,104292
125,882,2013,Chinese Grand Prix,1,14,6,1:45.250,105250
126,882,2013,Chinese Grand Prix,1,15,4,1:44.685,104685
127,882,2013,Chinese Grand Prix,1,16,3,1:43.938,103938
128,882,2013,Chinese Grand Prix,1,17,3,1:43.954,103954
129,882,2013,Chinese Grand Prix,1,18,3,1:44.018,104018
130,882,2013,Chinese Grand Prix,1,19,3,1:43.909,103909
131,882,2013,Chinese Grand Prix,1,20,3,1:44.675,104675
